Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004
"06037402303","14000US06037402303","Census Tract 4023.03","Census Tract 4023.03, Los Angeles County, California","ca","140","00","ACSSF","0004972",,,,,"06","037",,,,"402303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2411,839,1280,292
"06037402304","14000US06037402304","Census Tract 4023.04","Census Tract 4023.04, Los Angeles County, California","ca","140","00","ACSSF","0004973",,,,,"06","037",,,,"402304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237,1148,980,109
"06037402402","14000US06037402402","Census Tract 4024.02","Census Tract 4024.02, Los Angeles County, California","ca","140","00","ACSSF","0004974",,,,,"06","037",,,,"402402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4071,1020,2175,876
"06037402403","14000US06037402403","Census Tract 4024.03","Census Tract 4024.03, Los Angeles County, California","ca","140","00","ACSSF","0004975",,,,,"06","037",,,,"402403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426,517,1616,293
"06037402404","14000US06037402404","Census Tract 4024.04","Census Tract 4024.04, Los Angeles County, California","ca","140","00","ACSSF","0004976",,,,,"06","037",,,,"402404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,26,21
"06037402405","14000US06037402405","Census Tract 4024.05","Census Tract 4024.05, Los Angeles County, California","ca","140","00","ACSSF","0004977",,,,,"06","037",,,,"402405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,729,883,134
"06037402406","14000US06037402406","Census Tract 4024.06","Census Tract 4024.06, Los Angeles County, California","ca","140","00","ACSSF","0004978",,,,,"06","037",,,,"402406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083,1212,1518,353
"06037402501","14000US06037402501","Census Tract 4025.01","Census Tract 4025.01, Los Angeles County, California","ca","140","00","ACSSF","0004979",,,,,"06","037",,,,"402501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2959,1696,1083,180
"06037402502","14000US06037402502","Census Tract 4025.02","Census Tract 4025.02, Los Angeles County, California","ca","140","00","ACSSF","0004980",,,,,"06","037",,,,"402502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3914,1590,1986,338
"06037402600","14000US06037402600","Census Tract 4026","Census Tract 4026, Los Angeles County, California","ca","140","00","ACSSF","0004981",,,,,"06","037",,,,"402600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827,1189,2217,1421
"06037402702","14000US06037402702","Census Tract 4027.02","Census Tract 4027.02, Los Angeles County, California","ca","140","00","ACSSF","0004982",,,,,"06","037",,,,"402702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,1618,1309,237
"06037402703","14000US06037402703","Census Tract 4027.03","Census Tract 4027.03, Los Angeles County, California","ca","140","00","ACSSF","0004983",,,,,"06","037",,,,"402703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885,565,1746,574
"06037402705","14000US06037402705","Census Tract 4027.05","Census Tract 4027.05, Los Angeles County, California","ca","140","00","ACSSF","0004984",,,,,"06","037",,,,"402705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,738,1054,392
"06037402706","14000US06037402706","Census Tract 4027.06","Census Tract 4027.06, Los Angeles County, California","ca","140","00","ACSSF","0004985",,,,,"06","037",,,,"402706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,735,1462,266
"06037402801","14000US06037402801","Census Tract 4028.01","Census Tract 4028.01, Los Angeles County, California","ca","140","00","ACSSF","0004986",,,,,"06","037",,,,"402801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,1463,1125,74
"06037402803","14000US06037402803","Census Tract 4028.03","Census Tract 4028.03, Los Angeles County, California","ca","140","00","ACSSF","0004987",,,,,"06","037",,,,"402803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853,858,772,223
"06037402804","14000US06037402804","Census Tract 4028.04","Census Tract 4028.04, Los Angeles County, California","ca","140","00","ACSSF","0004988",,,,,"06","037",,,,"402804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,1220,1111,177
"06037402902","14000US06037402902","Census Tract 4029.02","Census Tract 4029.02, Los Angeles County, California","ca","140","00","ACSSF","0004989",,,,,"06","037",,,,"402902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4508,1795,2066,647
"06037402903","14000US06037402903","Census Tract 4029.03","Census Tract 4029.03, Los Angeles County, California","ca","140","00","ACSSF","0004990",,,,,"06","037",,,,"402903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626,869,1382,375
"06037402904","14000US06037402904","Census Tract 4029.04","Census Tract 4029.04, Los Angeles County, California","ca","140","00","ACSSF","0004991",,,,,"06","037",,,,"402904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2259,788,1274,197
"06037403000","14000US06037403000","Census Tract 4030","Census Tract 4030, Los Angeles County, California","ca","140","00","ACSSF","0004992",,,,,"06","037",,,,"403000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4488,1682,2175,631
"06037403200","14000US06037403200","Census Tract 4032","Census Tract 4032, Los Angeles County, California","ca","140","00","ACSSF","0004993",,,,,"06","037",,,,"403200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,219,155,25
"06037403303","14000US06037403303","Census Tract 4033.03","Census Tract 4033.03, Los Angeles County, California","ca","140","00","ACSSF","0004994",,,,,"06","037",,,,"403303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,338,933,712
"06037403304","14000US06037403304","Census Tract 4033.04","Census Tract 4033.04, Los Angeles County, California","ca","140","00","ACSSF","0004995",,,,,"06","037",,,,"403304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3719,205,1417,2097
"06037403305","14000US06037403305","Census Tract 4033.05","Census Tract 4033.05, Los Angeles County, California","ca","140","00","ACSSF","0004996",,,,,"06","037",,,,"403305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,50,519,1038
"06037403312","14000US06037403312","Census Tract 4033.12","Census Tract 4033.12, Los Angeles County, California","ca","140","00","ACSSF","0004997",,,,,"06","037",,,,"403312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3794,392,2093,1309
"06037403316","14000US06037403316","Census Tract 4033.16","Census Tract 4033.16, Los Angeles County, California","ca","140","00","ACSSF","0004998",,,,,"06","037",,,,"403316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4977,227,2132,2618
"06037403317","14000US06037403317","Census Tract 4033.17","Census Tract 4033.17, Los Angeles County, California","ca","140","00","ACSSF","0004999",,,,,"06","037",,,,"403317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,293,1376,1781
"06037403318","14000US06037403318","Census Tract 4033.18","Census Tract 4033.18, Los Angeles County, California","ca","140","00","ACSSF","0005000",,,,,"06","037",,,,"403318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,260,2332,1588
"06037403319","14000US06037403319","Census Tract 4033.19","Census Tract 4033.19, Los Angeles County, California","ca","140","00","ACSSF","0005001",,,,,"06","037",,,,"403319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919,116,1101,1702
"06037403320","14000US06037403320","Census Tract 4033.20","Census Tract 4033.20, Los Angeles County, California","ca","140","00","ACSSF","0005002",,,,,"06","037",,,,"403320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3649,170,1234,2245
"06037403321","14000US06037403321","Census Tract 4033.21","Census Tract 4033.21, Los Angeles County, California","ca","140","00","ACSSF","0005003",,,,,"06","037",,,,"403321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493,326,1960,2207
"06037403322","14000US06037403322","Census Tract 4033.22","Census Tract 4033.22, Los Angeles County, California","ca","140","00","ACSSF","0005004",,,,,"06","037",,,,"403322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796,181,1106,1509
"06037403323","14000US06037403323","Census Tract 4033.23","Census Tract 4033.23, Los Angeles County, California","ca","140","00","ACSSF","0005005",,,,,"06","037",,,,"403323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910,125,1566,2219
"06037403324","14000US06037403324","Census Tract 4033.24","Census Tract 4033.24, Los Angeles County, California","ca","140","00","ACSSF","0005006",,,,,"06","037",,,,"403324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5130,201,1769,3160
"06037403325","14000US06037403325","Census Tract 4033.25","Census Tract 4033.25, Los Angeles County, California","ca","140","00","ACSSF","0005007",,,,,"06","037",,,,"403325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3897,129,1260,2508
"06037403401","14000US06037403401","Census Tract 4034.01","Census Tract 4034.01, Los Angeles County, California","ca","140","00","ACSSF","0005008",,,,,"06","037",,,,"403401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3974,272,1741,1961
"06037403402","14000US06037403402","Census Tract 4034.02","Census Tract 4034.02, Los Angeles County, California","ca","140","00","ACSSF","0005009",,,,,"06","037",,,,"403402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485,260,1142,1083
"06037403403","14000US06037403403","Census Tract 4034.03","Census Tract 4034.03, Los Angeles County, California","ca","140","00","ACSSF","0005010",,,,,"06","037",,,,"403403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634,213,1138,2283
"06037403404","14000US06037403404","Census Tract 4034.04","Census Tract 4034.04, Los Angeles County, California","ca","140","00","ACSSF","0005011",,,,,"06","037",,,,"403404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916,180,670,1066
"06037403405","14000US06037403405","Census Tract 4034.05","Census Tract 4034.05, Los Angeles County, California","ca","140","00","ACSSF","0005012",,,,,"06","037",,,,"403405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,77,427,856
"06037403406","14000US06037403406","Census Tract 4034.06","Census Tract 4034.06, Los Angeles County, California","ca","140","00","ACSSF","0005013",,,,,"06","037",,,,"403406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,116,1090,748
"06037403407","14000US06037403407","Census Tract 4034.07","Census Tract 4034.07, Los Angeles County, California","ca","140","00","ACSSF","0005014",,,,,"06","037",,,,"403407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,96,427,1229
